go_id	type
http://purl.obolibrary.org/obo/GO_0005925	cellular_component
http://purl.obolibrary.org/obo/GO_0032991	cellular_component
http://purl.obolibrary.org/obo/GO_0042802	molecular_function
http://purl.obolibrary.org/obo/GO_0021762	biological_process
http://purl.obolibrary.org/obo/GO_0045296	molecular_function
http://purl.obolibrary.org/obo/GO_0019899	molecular_function
http://purl.obolibrary.org/obo/GO_0051219	molecular_function
http://purl.obolibrary.org/obo/GO_0050815	molecular_function
http://purl.obolibrary.org/obo/GO_0019904	molecular_function
http://purl.obolibrary.org/obo/GO_0004860	molecular_function
http://purl.obolibrary.org/obo/GO_0045744	biological_process
http://purl.obolibrary.org/obo/GO_0035308	biological_process
http://purl.obolibrary.org/obo/GO_0043085	biological_process
http://purl.obolibrary.org/obo/GO_0006605	biological_process
http://purl.obolibrary.org/obo/GO_0005085	molecular_function
http://purl.obolibrary.org/obo/GO_0051018	molecular_function
http://purl.obolibrary.org/obo/GO_0035025	biological_process
http://purl.obolibrary.org/obo/GO_0005078	molecular_function
http://purl.obolibrary.org/obo/GO_0060090	molecular_function
http://purl.obolibrary.org/obo/GO_0031267	molecular_function
http://purl.obolibrary.org/obo/GO_0071875	biological_process
http://purl.obolibrary.org/obo/GO_0043123	biological_process
http://purl.obolibrary.org/obo/GO_0035023	biological_process
http://purl.obolibrary.org/obo/GO_0031931	cellular_component
http://purl.obolibrary.org/obo/GO_0045792	biological_process
http://purl.obolibrary.org/obo/GO_0006469	biological_process
http://purl.obolibrary.org/obo/GO_0032007	biological_process
http://purl.obolibrary.org/obo/GO_1904262	biological_process
http://purl.obolibrary.org/obo/GO_0030291	molecular_function
http://purl.obolibrary.org/obo/GO_0009986	cellular_component
http://purl.obolibrary.org/obo/GO_0005768	cellular_component
http://purl.obolibrary.org/obo/GO_0043198	cellular_component
http://purl.obolibrary.org/obo/GO_0043197	cellular_component
http://purl.obolibrary.org/obo/GO_0045202	cellular_component
http://purl.obolibrary.org/obo/GO_0005769	cellular_component
http://purl.obolibrary.org/obo/GO_0005783	cellular_component
http://purl.obolibrary.org/obo/GO_0005794	cellular_component
